26,21
118,117
129,3
166,151
168,191
194,151
209,211
215,151
236,3
87,241
255,256
140,321
140,125
367,183
371,371
393,401
393,125
233,228
467,467
503,467
271,334
527,516
540,540
542,543
130,537
297,628
323,657
74,5
458,87
233,547
120,401
693,693
13,110
593,549
671,590
751,17
49,1
2,57
89,3
13,499
222,517
558,3
226,395
138,846
872,873
893,897
894,895
893,895
729,718
703,893
721,804
499,222
89,629
929,929
945,9
375,3
958,957
356,121
267,496
323,4
13,499
817,25
394,1015
1,750
168,49
50,1001
541,146
1055,267
87,631
838,87
593,479
617,687
729,894
836,729
28,728
542,1084
899,895
1093,979
422,422
1097,422
1100,1101
655,338
681,714
331,278
63,342
108,642
966,4
966,56
664,437
130,132
235,449
538,238
284,284
483,410
146,410
13,541
31,1018
31,817
31,315
899,895
899,886
894,895
1176,730
145,473
558,3
768,748
761,748
483,483
119,671
89,658
108,499
89,622
500,932
931,1223
146,932
334,281
61,813
306,308
911,109
1111,646
461,2
15,1045
558,261
721,804
1194,1248
784,783
19,866
847,1006
1267,1268
288,567
558,612
768,1078
60,957
131,543
664,5
26,472
144,473
408,337
352,133
294,172
699,415
406,1284
166,1307
30,208
60,530
699,415
746,583
21,493
755,729
1046,514
6,89
861,849
1224,1125
856,6
620,115
267,617
267,664
267,850
764,426
89,684
314,1350
1351,1350
182,912
1198,1210
974,697
145,139
146,742
297,356
678,639
61,162
481,514
768,624
89,395
1009,849
59,203
817,3
606,664
256,1386
722,30
1126,148
1360,722
154,132
1098,1109
1384,560
616,1262
1427,1427
1435,1432
462,1243
1208,539
526,37
558,832
1374,1376
558,1210
483,36
558,3
558,15
63,23
1431,1435
1431,1431
270,1218
1431,1435
1431,1435
1435,1447
1154,847
1091,391
14,1477
1477,509
1059,383
789,1025
290,1025
746,1025
523,719
318,988
59,168
1126,83
1385,15
1126,917
1126,1277
1126,256
508,1506
255,1059
1198,1103
558,970
463,643
500,77
500,1049
168,455
168,12
846,139
30,438
1512,525
476,1512
641,760
523,361
1036,1116
429,881
245,1309
293,170
931,293
526,791
558,3
47,774
255,917
917,256
917,185
255,917
1217,624
83,371
30,282
981,888
1342,1256
1267,37
59,832
520,38
558,832
127,360
168,664
256,848
1394,1302
1394,273
367,1155
1262,660
311,967
63,514
916,1075
986,162
37,37
574,574
936,1237
476,1339
1338,525
1089,1262
1089,1338
209,762
209,842
789,209
617,858
898,898
507,734
789,804
804,729
975,919
597,117
438,1378
597,738
597,597
385,195
597,1469
1198,1210
1339,48
385,418
86,642
1041,266
950,1220
475,967
841,195
841,282
525,3
841,1366
30,1263
1018,643
242,918
1398,1393
142,480
1536,1356
1198,417
617,789
37,37
285,23
47,35
255,1386
1156,1044
1012,252
255,1385
294,415
788,73
788,21
21,73
509,788
764,762
764,762
617,687
788,294
764,617
509,210
290,3
323,311
277,671
1210,1038
558,874
255,1386
607,1386
63,311
63,697
63,294
988,206
80,806
1198,149
558,628
558,645
1198,774
624,584
1210,155
108,743
1198,1210
454,454
977,1038
314,1351
314,776
314,1351
1322,95
710,371
72,505
108,133
323,3
72,15
72,671
133,840
72,114
108,3
1467,505
1198,647
1098,195
635,362
1198,878
526,1053
37,29
210,1269
210,504
210,617
290,1041
593,691
256,1385
133,730
520,931
682,864
241,635
620,189
362,48
1215,248
593,691
108,170
21,232
501,950
558,335
1198,133
558,601
255,791
558,1391
415,931
108,154
105,826
1210,15
1198,466
520,687
558,791
698,628
15,232
108,241
826,637
558,832
72,988
774,1064
664,620
658,657
558,551
1198,417
30,4
558,526
15,15
108,864
771,1520
558,149
851,6
108,691
558,882
338,643
1386,988
971,126
636,636
295,220
